time,thrust
1.253,4788.6351
1.254,4788.4637
1.255,4788.2922
1.256,4788.1207
1.257,4787.9491
1.258,4787.7776
1.259,4787.6061
1.26,4787.4345
1.261,4787.263
1.262,4787.0914
1.263,4786.9198
1.264,4786.7482
1.265,4786.5766
1.266,4786.405
1.267,4786.2334
1.268,4786.0618
1.269,4785.8902
1.27,4785.7185
1.271,4785.5468
1.272,4785.3752
1.273,4785.2035
1.274,4785.0318
1.275,4784.8601
1.276,4784.6884
1.277,4784.5167
1.278,4784.3449
1.279,4784.1732
1.28,4784.0015
1.281,4783.8297
1.282,4783.6579
1.283,4783.4861
1.284,4783.3144
1.285,4783.1425
1.286,4782.9707
1.287,4782.7989
1.288,4782.6271
1.289,4782.4552
1.29,4782.2834
1.291,4782.1115
1.292,4781.9397
1.293,4781.7678
1.294,4781.5959
1.295,4781.424
1.296,4781.2521
1.297,4781.0801
1.298,4780.9082
1.299,4780.7363
1.3,4780.5643
1.301,4780.3923
1.302,4780.2204
1.303,4780.0484
1.304,4779.8764
1.305,4779.7044
1.306,4779.5324
1.307,4779.3603
1.308,4779.1883
1.309,4779.0163
1.31,4778.8442
1.311,4778.6721
1.312,4778.5001
1.313,4778.328
1.314,4778.1559
1.315,4777.9838
1.316,4777.8117
1.317,4777.6395
1.318,4777.4674
1.319,4777.2952
1.32,4777.1231
1.321,4776.9509
1.322,4776.7787
1.323,4776.6066
1.324,4776.4344
1.325,4776.2621
1.326,4776.0899
1.327,4775.9177
1.328,4775.7455
1.329,4775.5732
1.33,4775.4009
1.331,4775.2287
1.332,4775.0564
1.333,4774.8841
1.334,4774.7118
1.335,4774.5395
1.336,4774.3672
1.337,4774.1949
1.338,4774.0225
1.339,4773.8502
1.34,4773.6778
1.341,4773.5054
1.342,4773.333
1.343,4773.1607
1.344,4772.9883
1.345,4772.8158
1.346,4772.6434
1.347,4772.471
1.348,4772.2985
1.349,4772.1261
1.35,4771.9536
1.351,4771.7812
1.352,4771.6087
1.353,4771.4362
1.354,4771.2637
1.355,4771.0912
1.356,4770.9186
1.357,4770.7461
1.358,4770.5736
1.359,4770.401
1.36,4770.2284
1.361,4770.0559
1.362,4769.8833
1.363,4769.7107
1.364,4769.5381
1.365,4769.3655
1.366,4769.1929
1.367,4769.0202
1.368,4768.8476
1.369,4768.6749
1.37,4768.5023
1.371,4768.3296
1.372,4768.1569
1.373,4767.9842
1.374,4767.8115
1.375,4767.6388
1.376,4767.466
1.377,4767.2933
1.378,4767.1206
1.379,4766.9478
1.38,4766.775
1.381,4766.6023
1.382,4766.4295
1.383,4766.2567
1.384,4766.0839
1.385,4765.9111
1.386,4765.7382
1.387,4765.5654
1.388,4765.3925
1.389,4765.2197
1.39,4765.0468
1.391,4764.8739
1.392,4764.701
1.393,4764.5281
1.394,4764.3552
1.395,4764.1823
1.396,4764.0094
1.397,4763.8364
1.398,4763.6635
1.399,4763.4905
1.4,4763.3176
1.401,4763.1446
1.402,4762.9716
1.403,4762.7986
1.404,4762.6256
1.405,4762.4526
1.406,4762.2795
1.407,4762.1065
1.408,4761.9334
1.409,4761.7604
1.41,4761.5873
1.411,4761.4142
